term,icf
ambulating up and down steps,d455
ambulating up down,d455
ambulating upstairs,d455
ambulation,d450
ambulation around atrium,d460
ambulation around house,d460
ambulation around the atrium,d460
ambulation around the house,d460
ambulation at home,d460
ambulation down,d455
ambulation downstairs,d455
ambulation in clinic,d460
ambulation in hospital,d460
ambulation in house,d460
ambulation in our clinic,d460
ambulation in the clinic,d460
ambulation in the house,d460
ambulation to bathroom,d460
ambulation to the bathroom,d460
ambulation up,d455
ambulation up and down,d455
ambulation up down,d455
ambulation upstairs,d455
ambulation/gait,d450
ambulatory,d450
an automobile driven by her,d475
an automobile driven by him,d475
ant/posterior bend,d410
arise,d410
arise from chair to exam table,d410
arise to erect posture,d410
arise to upright position,d410
arisen,d410
arises,d410
arisi ng from the chair to the exam table,d410
arising,d410
arising from the chair to the exam table,d410
arising to erect posture,d410
arrive to upright position,d410
ascend,d455
ascend descend,d455
ascend few rungs,d455
ascend/descend,d455
ascended,d455
ascended/descended,d455
ascends,d455
ascends/descends,d455
assist up,d410
au automobile driven by him,d475
balance,d410
balance sitting,d415
balance when bending,d410
balance when reaching,d410
balance when sitting,d410
balance when standing,d410
balancing,d410
bang items together,d440
bang objects together,d440
bang toys together,d440
bat ball,d445
be driven to appointments,d470
be in the supine position,d415
be on feet,d415
be seated,d415
be up,d410
bed chair,d420
bed chair wheelchair,d420
bed from chair,d420
bed from chair wheelchair,d420
bed from wheelchair,d420
bed mob,d410
bed mobility,d410
bed to chair,d420
bed to chair wheelchair,d420
bed to stretchr,d420
bed to wheelchair,d420
bed wheelchair,d420
bed-wheelchair,d420
bed/chair,d420
begin walking,d450
being in the supine position,d415
bend,d410
bend arm,d445
bend arms,d445
bend at the torso,d410
bend at the waist,d410
bend at waist,d410
bend at wait,d410
bend bp cuff bulb,d440
bend down,d410
bend forward,d410
bend forward-backward,d410
bend forward/backward,d410
bend forward/sideways,d410
bend forwards,d410
bend head forward,d410
bend his head forward,d410
bend in bed,d410
bend in chair,d410
bend much at the waist,d410
bend over,d410
bend sitting,d415
bend to reach feet,d410
bend to reach toes,d410
bend/reach,d410;d445
bending,d410
bending a t the waist,d410
bending at the torso,d410
bending at the waist,d410
bending down,d410
bending forward,d410
bending much at the waist,d410
bending over,d410
bending/reaching,d410
bends,d410
bends over,d410
bent,d410
bike,d475
bike ride,d475
bike rides,d475
bike riding,d475
bike to appointments,d475
biked,d475
bikes,d475
biking,d475
bounce,d455
bounce in bed,d410
bounce/catch,d400;d445
bouncing,d455
bow,d410
bow at the waist,d410
bow at waist,d410
bow down,d410
brought,d470
brought by a friend,d470
brought in by a friend,d470
brought to appointment,d470
brought to her appointment,d470
brought to his appointment,d470
brought to this office,d470
brung by a friend,d470
button,d440
button clothing utilizing both hands,d440
button/unbutton,d440
buttoning,d440
buttons,d440
by bus,d470
capture and hold things,d440
car transfer,d420
car transfers,d420
carried,d430
carries,d430
carry,d430
carry a light basket of laundry,d430
carry any objects,d430
carry basket,d430
carry baskets,d430
carry garbage,d430
carry groceries,d430
carry in the arms,d430
carry in the hands,d430
carry light basket of laundry,d430
carry milk,d430
carry objects,d430
carry on back,d430
carry on head,d430
carry on hip,d430
carry on neck,d430
carry on shoulder,d430
carry on shoulders,d430
carry on shoulders hip and back,d430
carry things with both hands,d430
carry things with hands,d430
carry trash,d430
carry weight,d430
carrying,d430
carrying in the arms,d430
carrying in the hands,d430
carrying objects,d430
carrying on back,d430
carrying on hip,d430
carrying on shoulders,d430
"carrying on shoulders, hip, and back",d430
carrying on the head,d430
carrying the milk,d430
carrying weight,d430
carve,d440
carve with scissors,d440
catch bus,d470
catch/throw ball,d445
catching/throwing,d445
cease walking,d450
chair bed,d420
chair to bed,d420
chair to squat,d410
chair to stand,d410
chair to standing,d410
chair wheelchair to bed,d420
chair->bed,d420
change positioning,d410
change positions,d410
change posture,d410
changes in position,d410
changes position,d410
chop with scissors,d440
clamber 0 laps around the ward,d455
clamber about room,d455
clamber around atrium,d455
clasp,d440
clasp and hold things,d440
clasp object,d440
clasp stuff in left hand,d440
climb,d455
climb 0 flight,d455
climb 0 flight of stairs,d455
climb 00 stairs,d455
climb 1 flight,d455
climb 1 flight of stairs,d455
climb 10 stairs,d455
climb a few rungs,d455
climb a few rungs of a ladder,d455
climb a few steps,d455
climb a flight of stairs,d455
climb few rungs,d455
climb few rungs of ladder,d455
climb few steps,d455
climb ladder,d455
climb ladders or scaffolds,d455
climb on and off examination table,d455
climb on and off the examination table,d455
climb ramps and stairs,d455
climb stairs,d455
climb stairs and ramps,d455
climb steps,d455
climb steps and stairs,d455
climb steps/stairs,d455
climb the stairs,d455
climb things,d455
climb up and down stairs,d455
climb up and down stairs inclines ramp or ladder,d455
climb up on to examination table,d455
climb up stairs,d455
climbed,d455
climber,d455
climbing,d455
climbing a flight of stairs,d455
climbing ladders,d455
climbing ramps and stairs,d455
climbing stairs,d455
climbing steps,d455
climbing steps and stairs,d455
climbing steps/stairs,d455
climbing up and down stairs,d455
"climbing up and down stairs, inclines, ramps or ladders",d455
climbs,d455
close a jar lid,d445
close bottles jars,d445
close container,d440
close containers,d440
close jar,d440
close packaging,d440
closing door,d445
clutch,d440
clutch and hold things,d440
clutch object,d440
clutch stuff in left hand,d440
come from the chair to the exam table,d410
come out of car,d410
come to an upright position,d410
come to semi-upright position,d410
come to upright position,d410
community ambulation,d460
community ambulatory,d460
community outings,d460
community walking,d460
commute by car,d475
compress,d440
conclude walking,d450
construct things,d430
contain in the hands,d430
continue sitting,d415
continue to upright position,d410
control position,d410
control shoulder girdle posture,d410
control trunk posture,d410
craniosacral flexion,d410
crawl,d455
crawl 0 laps around the ward,d455
crawl about room,d455
crawl around atrium,d455
crawl away,d455
crawl few rungs,d455
crawl up on to examination table,d455
crawled,d455
crawling,d455
crawls,d455
create things with hands,d440
crouch sitting,d415
crouched,d410;d415
crouching,d410;d415
curve at the waist,d410
curve at waist,d410
cut,d440
cut with scissors,d440
cuts,d440
cutting,d440
deep leg squat,d410
depart seat,d410
descend,d455
descend few rungs,d455
descending,d455
descends,d455
dial-a-ride,d470
difficulty alternating between sitting and standing,d410
difficulty carrying,d430
difficulty carrying prepared food,d430
difficulty lifting,d430
dip at the waist,d410
discontinue walking,d450
dive,d455
diving,d455
do a full squat maneuver,d410
do a ladder,d455
do ladder,d455
do lap in the pool,d455
do pulling,d445
do some squats,d410
do sqauts,d410
do squats,d410
do tip toeing,d400
do unloading,d430;d455
does mini-squats,d410
does some squats,d410
does squats,d410
doodle,d440
dove away,d455
drag,d445
dragging leg or foot,d450
dribble,d445
dribbling,d445
driive,d475
driv4,d475
drive,d475
drive a car,d475
drive a motor vehicle,d475
drive bus,d475
drive car,d475
drive her,d470
drive her to,d470
drive him,d470
drive him to,d470
drive motor vehicle,d475
drive to appointments,d475
driven,d470
driven by,d470
driven in,d470
driven to,d470
driven to appointments,d470
driven to evaluation setting,d470
driven to evaluation/treatment,d470
driven to the interview,d470
driver,d475
drives,d475
drives/uses public transportation,d470;d475
driving,d475
driving a car,d475
drivrn,d470
drop,d440
drop her,d470
drop her off,d400
drop him off,d400
drop objects,d440
drop them,d440
drop things,d440
dropped,d440
dropping,d440
dropping any objects,d440
dropping them,d440
dropping things,d440
drops,d440
drops her off,d400
drops him off,d400
drops things,d440
drove,d475
drove her,d470
drove her to,d470
drove him,d470
drove him to,d470
drove him to clinic,d470
drove him to the clinic,d470
employ arms to carry,d430
end walking,d450
enter,d460
enter the room,d460
enters clinic,d460
enters the room,d460
eob sit,d415
eob/bed sit,d415
erect posturing,d415
ext/flexion,d410
extension/flexion,d410
fabricate things with hands,d440
fall,d410
fell away,d410
fetch a ride,d470
fine and gross manipulation,d440
fine and gross manipulative skills,d440
fine and gross movement,d440
fine and gross movements,d440
fine finger manipulation,d440
fine finger manipulative abilities,d440
fine finger manipulative ability,d440
fine finger movement,d440
fine manipulation,d440
fine manipulative task,d440
fine manipulative tasks,d440
fine motor skills,d440
fine/gross manipulation,d440
finger,d440
fingering,d440
finish walking,d450
flex at the waist,d410
flex at waist,d410
flex in bed,d410
flexion,d410
flexion-extension,d410
flexion/rotation,d410
flexions,d410
flit 0 laps around the ward,d400
flit about room,d400
flit around atrium,d400
floor stand,d410
floor to stand,d410
flounce 0 laps around the ward,d400
flounce about room,d400
flounce around atrium,d400
fold a heavy load of laundry into bin,d445
fold at the waist,d410
foot/toe walking,d450
forward bend,d410
forward bending,d410
forward reach,d445
frard bend,d410
free grip,d440
frolic 0 laps around the ward,d400
frolic about room,d400
frolic around atrium,d400
gail,d450
gait,d450
gait in community,d460
gait in home,d460
gait in the community,d460
gait/mobility,d450
gasp,d440
get a ride,d470
get ahold of a ride,d470
get and off exam table,d410
get around,d460
get bus,d470
get hold of a ride,d470
get in,d410
get in and out of car,d410
get in and out of high bathtub,d410
get in and out of his high bathtub,d410
get in car,d410
get into,d410
get into chair,d410
get off and on,d410
get off and on the examining table,d410
get off exam table,d410
get off table,d410
get off/on exam table,d410
get on and off exam table,d410
get on and off examination table,d410
get on and off examining table,d410
get on and off of an table,d410
get on and off of the examining table,d410
get on and off table,d410
get on and off the exam table,d410
get on and off the examination table,d410
get on and off the table,d410
get on exam table,d410
get on or off the exam table,d410
get on table,d410
get on/off examination table,d410
get on/off the table,d410
get onto and off of the exam table,d410
get onto and off the exam table,d410
get onto examination room,d410
get onto examination table,d410
get onto the examination room,d410
get out,d410
get out bed,d410
get out of bed,d410
get out of chair,d410
get out of house,d460
get out the bed,d410
get up,d410
get up a flight of stairs,d455
get up and down from a seated position,d410
get up and down from exam table,d410
get up and out of chair,d410
get up and out of the chair,d410
get up from a seated position,d410
get up from a sitting to standing position,d410
get up from chair,d410
get up from seat,d410
get up from seated position,d410
get up from sitting to standing position,d410
get up from supine position,d410
get up from the seated position,d410
gets a ride,d470
gets into the chair,d410
gets on and off the table,d410
gets on the table,d410
gets out of the chair,d410
gets up,d410
gets up and down from a seated position,d410
gets up from seat,d410
getting in and out of her high bathtub,d410
getting in and out of his high bathtub,d410
getting in and out of the car,d410
getting into,d410
getting off and on,d410
getting off and on the examining table,d410
getting on and off exam table,d410
getting on and off the exam table,d410
getting on and off the examination table,d410
getting on or off the exam table,d410
getting on/off exam table,d410
getting on/off the examination table,d410
getting onto the examination room,d410
getting onto the examination table,d410
getting onto the examinationtable,d410
getting out,d410
getting out of the house,d460
getting up,d410
getting up a flight of stairs,d455
getting up and down from the exam table,d410
getting up from a seated position,d410
getting up from chair,d410
getting up from supine position,d410
go down,d455
go down few rungs,d455
go downstairs,d455
go for walks,d450
go from one place to another,d460
go from place to place,d460
go from seated to standing,d410
go from standing to seated,d410
go from standing to sitting,d410
go into a room,d460
go into room,d460
go out of his vehicle,d410
go out of house,d460
go out of vehicle,d410
go somewhere,d460
go to basement,d455
go to bathroom,d460
go to bed,d400
go to church,d460
go to grocery store,d460
go to hospital,d460
go to porch,d460
go to restaurants,d460
go to upright position,d410
go to walks,d450
go up,d455
go up and down,d455
go up and down a flight of stairs,d455
go up and down stairs,d455
go up few rungs,d455
go up things,d455
go up/downs,d455
go upstairs,d455
go_down,d410
go_up,d410
goes downstairs,d455
goes for walks,d450
goes out of the house,d460
goes to bed,d400
goes to church,d460
goes to the bathroom,d460
goes to the hospital,d460
goes upstairs,d455
goes with bike,d475
going down,d455
going for walks,d450
going to bed,d400
going to walks,d450
going up,d455
going up and down,d455
going up and down stairs,d455
going upstairs,d455
got in car,d410
got in the car,d410
got out of her vehicle,d410
got up,d410
grab,d440
grab and hold things,d440
grab object,d440
grabbed,d440
grabbing,d440
grabs,d440
grasp,d440
grasp and hold things,d440
grasp her pen,d440
grasp her pencil,d440
grasp his pencil,d440
grasp object,d440
grasp objects,d440
grasp stuff in left hand,d440
grasp; release,d440
grasp/pinch,d440
grasped,d440
grasping,d440
grasping her pencil,d440
grasping his pencil,d440
grasps,d440
grip,d440
grip and hold things,d440
grip by hand,d440
grip cup,d440
grip fork,d440
grip in hand,d440
grip in left hand,d440
grip in right hand,d440
grip jug,d440
grip object,d440
grip spoon,d440
grip stuff in left hand,d440
grip teaspoon,d440
grip things,d440
grip/pinch,d440
gripping in the left hand,d440
grips,d440
gross and fine finger manipulative ability,d440
gross and fine manipulation,d440
gross manipulation,d440
gross/fine manipulation,d440
half kneeling position,d415
half-kneeling position,d415
hand and finger dexterity,d440
hand movements,d445
handle and hold things,d440
handle light object,d440
handle light objects,d440
handle manipulate feel finger objects,d440
handle object,d440
handle objects,d440
handle objects with both hands,d440
handle small objects,d440
handle stuff in left hand,d440
handle utensils,d440
"handle, manipulate, feel, and finger objects",d440
handled an object,d440
handles an object,d440
handling manipulating and maneuvering small objects,d440
handling objects,d440
handling objects with both hands,d440
"handling, manipulating, and maneuvering small objects",d440
have a ride,d470
have been driven,d470
have driven himself,d475
have short walks,d450
have stuff in left hand,d440
having been driven,d470
having driven himself,d475
heavy lift,d430
heavy lifting,d430
heel and toe walk,d450
heel stands,d415
heel to toe walk,d450
heel toe walk,d450
heel walk,d450
heel walking,d450
heel-to-toe walk,d450
heel-toe walk,d450
"heel, toe, and tandem walk",d450
"heel, toe, and tandem walking",d450
"heel,toe walk",d450
heel/toe walk,d450
held,d440
help her up,d410
help him up,d410
help up,d410
helped up,d410
helps up,d410
hike,d450
hiked,d450
hikes,d450
hiking,d450
hit ball,d445
hold,d440
hold a cup,d440
hold in the hands,d430
hold left hand,d440
hold object,d440
hold on,d440
hold right hand,d440
hold stuff in left hand,d440
holding,d440
holding her left hand,d440
holding her right hand,d440
holding his left hand,d440
holding his right hand,d440
holding on,d440
holding stuff in her left hand,d440
holding stuff in his right hand,d440
holding stuff in left hand,d440
holding stuff in right hand,d440
holds,d440
holds x x a cup,d440
hook-lying,d415
hop,d455
hop away,d455
hop on one foot,d455
hop on one foot bilaterally,d455
hop on one leg,d455
hopped,d455
hopping,d455
hopping on one leg,d455
hops,d455
household ambulation,d460
hunch down,d410
hunch sitting,d415
impede walking,d450
in a standing position,d415
in and out of bed,d410
in out of bed,d410
in standing position,d415
in supine,d415
is up,d410
jog,d455
jogging,d455
jump,d455
jump few rungs,d455
jump things,d455
jumped,d455
jumping,d455
jumps,d455
keyboarding,d440
kick ball,d435
kick in bed,d410
kick person,d435
kicking ball,d435
kicks ball,d435
knee squat,d410
kneel,d455
kneel down,d410
kneel sitting,d415
kneeling,d410;d415
kneels,d410
laid back down,d410
laid back down in bed,d410
lateral bend,d410
lateral bending,d410
lateral flexion,d410
lay,d415
lay back down,d410
lay down,d415
lay in bed,d415
lay in supine position,d415
lay in the supine position,d415
lay straight back,d415
lay straight back on table,d415
lay straight back onto the table,d410
laying,d415
laying down,d415
laying in bed,d415
lean,d410
lean at the waist,d410
lean at waist,d410
lean down,d410
lean sitting,d415
leans forward,d410
leap away,d455
leap on one foot,d455
leap on one leg,d455
leap on one-leg,d455
leap on one-legged,d455
leave seat,d410
leave the room,d460
leaving seat,d410
leaving the room,d460
lie around,d415
lie around home,d415
lie around the home,d415
lie down,d410
lie down on sofa,d410
lie down supine,d415
lie down; sitting,d410
lie flat,d415
lie in bed,d415
lie in chair,d415
lie in supine position,d415
lie on back,d410
lie on exam table,d415
lie on his back,d415
lift,d430
lift basket,d430
lift heavy case,d430
lift heavy objects,d430
lift heavy objects or anything,d430
lift her,d430
lift medium amount of weight,d430
lift medium amounts of weight,d430
lift objects,d430
lift the basket,d430
lift things,d430
lifting,d430
lifting heavy cases,d430
lifting objects,d430
lifting things,d430
lifts,d430
limp,d450
limp 0 laps around the ward,d460
limp about room,d460
limp around atrium,d460
limp few rungs,d455
limping,d450
load,d430
load/unload,d430
loaded,d430
loading,d430
loads,d430
locomotion/mobility/gait,d450
lollop 0 laps around the ward,d400
lollop about room,d400
lollop around atrium,d400
long sitting,d415
long stand,d415
long standing,d415
loose a jar lid,d445
loosen a jar lid,d445
loosen bottles jars,d445
lower heavy objects,d430
lower things,d440
lying,d415
lying down,d415
lying down supine,d415
lying flat,d415
lying in bed,d415
lying in supine position,d415
lying on his back,d415
maintain a position,d415
maintain sitting,d415
maintain sitting position,d415
maintain standing position,d415
maintained a position,d415
maintaining a position,d415
maintaining a sitting position,d415
maintaining a standing position,d415
maintains a position,d415
make a fist,d440
manage clothes fasteners,d440
manage clothes fastening,d440
manage clothes fastenings,d440
maneuver around,d460
manipulate,d440
manipulate a button,d440
manipulate and handle a small and large object,d440
manipulate and handle small and large object,d440
manipulate button,d440
manipulate items,d440
manipulate large and small objects,d440
manipulate object,d440
manipulate objects,d440
manipulate objects with hands,d440
manipulate objects with the hands,d440
manipulate small and large objects,d440
manipulate the use of a pen,d440
manipulate use of pen,d440
manipulating,d440
manipulating items,d440
manipulation,d440
manipulation of small materials,d440
manipulationof small materials,d440
manipulative,d440
manipulative activities,d440
manipulative activity,d440
manipulative limitations,d440
manipulative movement,d440
manipulative movement with hand,d440
manipulative movements,d440
manipulative movements with hands,d440
manufacture things with hands,d440
marcg,d400
march,d400
marching,d400
midstance,d450
mince 0 laps around the ward,d400
mince about room,d400
mince around atrium,d400
mob/amb,d450
mobile in home,d460
mobile outside,d460
mobile outside with aid,d460
mobility/ambulation,d450
model things with hands,d440
mosey 0 laps around the ward,d460
mosey about room,d460
mosey around atrium,d460
move,d400
move about,d460
move about office,d460
move about the office,d460
move about the waiting room,d460
move around,d460
move around office,d460
move around the office,d460
move freely about the clinic,d460
move from bed to floor,d420
move from bed to floor to recliner,d420
move from lying to sitting,d410
move from the bed to the floor,d420
move from the bed to the floor to the recliner,d420
move hand/arm,d445
move in bed,d410
move things,d440
moved,d400
movement,d400
moves,d400
moves freely about the clinic,d460
moving,d400
moving about,d460
moving about the waiting room,d460
mvmt,d400
navigate stairs,d400
navigate three stairs,d400
navigated stairs,d400
navigates stairs,d400
needlework,d440
negotiate curbs,d400
negotiate stairs,d400
negotiate steps,d400
negotiates curbs,d400
negotiating curbs,d400
negotiating stairs,d400
negotiating steps,d400
non-ambulatory,d450
nonambulatory,d450
obstruct walking,d450
off table,d410
off the table,d410
on and off exam table,d410
on and oft the exam table,d410
on feet,d415
on her feet,d415
on his feet,d415
on legs/feet,d415
one leg stance,d415
open a jar lid,d445
open ajar lid,d445
open bottle/jar,d445
open bottles,d445
open bottles jars,d445
"open bottles, jars",d445
open bottles/jars,d445
open doorknob,d455
open doors,d445
open jar lid,d445
open jar's lid,d445
open jar's lids,d445
open jar/bottle,d445
open jars,d445
open jars/bottles,d445
open lid,d445
open up a jar lid,d445
open up bottles jars,d445
open/close door,d445
open/close jar,d440
opening bottles jars,d445
"opening bottles, jars, and the like",d445
opening container,d440
opening/closing jars,d440
operate an automobile,d475
operate automobile,d475
operate taps,d440
operate train,d475
operates an automobile,d475
operating an automobile,d475
operating automobile,d475
operating train,d475
organize things with hands,d440
out of a chair,d410
out of bed,d410
out of chair,d410
overhead and forward reaching,d445
overhead reach,d445
overhead reaching,d445
pace,d400
pace 0 laps around the ward,d460
pace about room,d460
pace around atrium,d460
pace few rungs,d455
paced,d400
paces,d400
pacing,d400
pass few rungs,d455
pass things from hand to hand,d440
pedal bike,d475
pedals bike,d475
pelvic tilt sitting,d415
perambulate,d450
perambulate away,d450
perch,d410
perch sitting,d415
perform a full squat maneuver,d410
perform a partial squat,d410
perform a partial squat maneuver,d410
perform a squat maneuver,d410
perform bilateral pushing,d445
perform gross and fine manipulative task,d440
perform gross and fine manipulative tasks,d440
perform hand function,d440
perform heel toe and tandem walking,d450
"perform heel, toe, and tandem walking",d450
perform manipulative activities,d440
perform partial squat,d410
perform pulling/pushing,d445
perform push left leg foot,d435
perform push right leg foot,d435
perform pushing,d445
perform pushing left leg-foot,d435
perform pushing right leg-foot,d435
perform pushing/pulling,d445
perform squat,d410
perform squats,d410
perform tandem gait,d450
perform tandem walk,d450
perform the manipulative activities,d440
perform toe heel walk,d450
perform toe/heel walk,d450
performing hand function,d440
performing tandem gait,d450
pick her up,d400
pick him up,d400
pick it up,d440
pick something up,d440
pick up,d440
pick up 00 pound,d430
pick up a coin,d440
pick up a paperclip,d440
pick up a pen,d440
pick up a small object,d440
pick up an item from floor,d440
pick up an object,d440
pick up and hold a cup,d440
pick up anything greather than 00 pounds,d430
pick up clothes,d440
pick up coin,d440
pick up coins,d440
pick up her 00 pound grand-daughter,d430
pick up her 00 pound grandson,d430
pick up her 21-pound grandson,d430
pick up his 21-pound,d430
pick up item,d440
pick up items,d440
pick up object,d440
pick up objects,d440
pick up pen,d440
pick up pens,d440
pick up pitcher,d430
pick up small object,d440
pick up small objects,d440
pick up small objects with both hands,d440
picked up,d440
picking it up,d440
picking up,d400
picking up an item from the floor,d440
picking up anything greater than 10 pounds,d430
picking up objects,d440
picking up small objects,d440
picks her up,d400
picks him up,d400
picks something up,d440
picks up,d440
picks up and holds a cup,d440
picks up and holds x x a cup,d440
picks up clothes,d440
picks up coin,d440
picks up pen,d440
picks up toiletries,d440
pickup,d440
pickup chopsticks,d440
pickup coins,d440
pin a needle,d440
pinch,d440
pinch/grip,d440
pinched,d440
pinches,d440
pinching,d440
pivots,d410
place down objects,d430
place in washer and dryer,d440
pop a jar lid,d445
pop bottles jars,d445
postural/core,d415
press bp cuff bulb,d440
print,d440
prolong sit,d415
prolong sitting,d415
prolonged sitting,d415
prolonged standing,d415
prolonged walking,d450
prolonged walking; prolonged standing,d415;d450
prop himself up,d410
prop himself up in the bed,d410
propel,d400
propelled,d400
propelling,d400
propels,d400
propping himself up,d410
props himself up,d410
props himself up in the bed,d410
propulsion,d400
pull,d445
pull another person,d445
pull doorknob,d455
pull his left hand,d445
pull it up,d445
pull-ups,d445
pull/push,d445
pulled,d445
pulling,d445
pulling another person,d445
pulls,d445
push,d445
push and pull a small wheeled toy forwards,d445
push and pull small wheeled toy forward,d445
push ball,d445
push/pull,d445
pushes,d445
pushing,d445
put a heavy load of laundry into bin,d445
put down heavy objects,d430
put down objects,d430
put in dishwasher,d440
put in dryer,d440
put in grocery cart,d430
put in grocery carts,d430
put in washer,d440
put in washer and dryer,d440
put in washer/dryer,d440
put it in the washer and the dryer,d440
put on shoes,d440
put on shoes/socks,d440
put on socks/shoes,d440
put one object inside another,d440
put them in a dishwasher,d440
put them in dishwasher,d440
putting down,d430
putting down objects,d430
quit walking,d450
raise,d410
raise ball,d430
raise heavy objects,d430
re-position,d410
reach,d445
reach forward,d445
reach her feet,d445
reach item,d445
reach items,d445
reach out,d445
reach overhead,d445
reach overhead and forward,d445
reach/bend,d410;d445
reachinc,d445
reaching,d445 
reaching forward,d445
reaching her feet,d445
reaching out,d445
reaching overhead,d445
reaching/bending,d410;d445
rearrange things with hands,d440
rebuild things with hands,d440
recline in chair,d415
recline position,d415
recline sitting,d415
reclined on table,d415
recovery from a squat,d410
recovery from squat,d410
recumbent bicycle,d475
recumbent bicycling,d475
recumbent cycle,d475
recumbent cycling,d475
release grip,d440
remain in seat,d415
remain in the supine position,d415
remain on feet,d415
remain seat- ed,d415
remain seated,d415
remain up,d415
remained seated,d415
remaining in seat,d415
reopen a jar lid,d445
reopen bottles jars,d445
reorganize things with hands,d440
repair things with hands,d440
reposition,d410
repositioned,d415
repositions,d410
rerelease grip,d440
restrain walking,d450
retire to bed,d400
retires to bed,d400
return from chair to exam table,d420
return in car,d410
return to upright position,d410
returned to,d470
ridden a bus,d470
ride,d470
ride a bus,d470
ride bicycle,d475
ride bike,d475
ride bus,d470
ride buses,d470
ride her bicycle,d475
ride her bike,d475
ride her motorcycle,d475
ride his bicycle,d475
ride his motorcycle,d475
ride motorcycle,d475
